"bp","jeita_cave","z_score_jeita_cave","jerusalem_west_cave","z_score_jerusalem_west_cave","lake_hula","z_score_lake_hula","soreq_cave","z_score_soreq_cave"
0,NA,NA,NA,NA,NA,NA,-5.25,-0.930651490163096
32,NA,NA,-4.98,0.183822669975087,NA,NA,NA,NA
130,NA,NA,-4.87,0.262537433103954,NA,NA,NA,NA
205,NA,NA,NA,NA,-9.32,-1.62236798994776,NA,NA
300,NA,NA,NA,NA,NA,NA,-5.3,-0.979155272336709
325,NA,NA,NA,NA,-9.8,-2.44600068165082,NA,NA
331,NA,NA,NA,NA,-10.28,-3.26963337335387,NA,NA
336,NA,NA,NA,NA,-9.56,-2.03418433579929,NA,NA
350,NA,NA,NA,NA,NA,NA,-5.05,-0.736636361468642
414,NA,NA,NA,NA,-8.84,-0.798735298244709,NA,NA
450,NA,NA,NA,NA,NA,NA,-5.42,-1.09556434955338
550,NA,NA,NA,NA,NA,NA,-5.62,-1.28957947824784
630,NA,NA,NA,NA,NA,NA,-5.75,-1.41568931189923
680,NA,NA,NA,NA,NA,NA,-5.51,-1.18287115746589
710,NA,NA,NA,NA,NA,NA,-5.49,-1.16346964459644
736,NA,NA,NA,NA,NA,NA,-5.43,-1.1052651059881
765,NA,NA,NA,NA,NA,NA,-5.44,-1.11496586242283
790,NA,NA,NA,NA,NA,NA,-5.29,-0.969454515901987
820,NA,NA,NA,NA,NA,NA,-5.3,-0.979155272336709
850,NA,NA,NA,NA,NA,NA,-5.32,-0.998556785206155
910,NA,NA,NA,NA,NA,NA,-5.07,-0.756037874338088
954,NA,NA,NA,NA,-7.95,0.728416984288036,NA,NA
980,NA,NA,NA,NA,NA,NA,-5.2,-0.882147707989483
1130,NA,NA,NA,NA,NA,NA,-5.48,-1.15376888816172
1137,-5.27,0.39778763600815,NA,NA,NA,NA,NA,NA
1147,-5.31,0.318312067986043,NA,NA,NA,NA,NA,NA
1158,-5.09,0.755427692107632,NA,NA,NA,NA,NA,NA
1168,-5.01,0.914378828151847,NA,NA,NA,NA,NA,NA
1178,-5.01,0.914378828151847,NA,NA,NA,NA,NA,NA
1189,-5.17,0.596476556063418,NA,NA,NA,NA,NA,NA
1199,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
1209,-4.95,1.03359218018501,NA,NA,NA,NA,NA,NA
1220,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
1230,-5.12,0.695821016091051,NA,NA,NA,NA,NA,NA
1240,-4.91,1.11306774820711,NA,NA,NA,NA,NA,NA
1251,-5.05,0.83490326012974,NA,NA,NA,NA,NA,NA
1261,-4.98,0.973985504168426,NA,NA,NA,NA,NA,NA
1266,NA,NA,-4.68,0.39849929669018,NA,NA,NA,NA
1271,-4.86,1.21241220823475,NA,NA,NA,NA,NA,NA
1280,NA,NA,NA,NA,NA,NA,-5.5,-1.17317040103116
1282,-4.9,1.13293664021264,NA,NA,NA,NA,NA,NA
1292,-4.86,1.21241220823475,NA,NA,NA,NA,NA,NA
1302,-4.77,1.39123223628449,NA,NA,NA,NA,NA,NA
1313,-4.82,1.29188777625686,NA,NA,NA,NA,NA,NA
1323,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
1333,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
1344,-4.94,1.05346107219053,NA,NA,NA,NA,NA,NA
1350,NA,NA,NA,NA,NA,NA,-5.55,-1.22167418320478
1354,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
1365,-4.97,0.993854396173954,NA,NA,NA,NA,NA,NA
1375,-5.03,0.874641044140792,NA,NA,NA,NA,NA,NA
1385,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
1396,-5.01,0.914378828151847,NA,NA,NA,NA,NA,NA
1406,-4.97,0.993854396173954,NA,NA,NA,NA,NA,NA
1416,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
1427,-4.97,0.993854396173954,NA,NA,NA,NA,NA,NA
1437,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
1447,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
1458,-5.09,0.755427692107632,NA,NA,NA,NA,NA,NA
1463,NA,NA,NA,NA,-8.08,0.505349796951792,NA,NA
1468,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
1478,-4.94,1.05346107219053,NA,NA,NA,NA,NA,NA
1480,NA,NA,NA,NA,NA,NA,-5.48,-1.15376888816172
1489,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
1499,-4.97,0.993854396173954,NA,NA,NA,NA,NA,NA
1509,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
1531,-5.12,0.695821016091051,NA,NA,NA,NA,NA,NA
1554,-5.15,0.63621434007447,NA,NA,NA,NA,NA,NA
1576,-5.32,0.298443175980515,NA,NA,NA,NA,NA,NA
1598,-5.15,0.63621434007447,NA,NA,NA,NA,NA,NA
1610,NA,NA,NA,NA,NA,NA,-5.37,-1.04706056737977
1620,-5.27,0.39778763600815,NA,NA,NA,NA,NA,NA
1642,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
1664,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
1686,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
1709,-5.09,0.755427692107632,NA,NA,NA,NA,NA,NA
