bp,d18o
205,-9.32
325,-9.8
331,-10.28
336,-9.56
414,-8.84
954,-7.95
1463,-8.08
1824,-8.06
2147,-8.05
2451,-7.8
2736,-7.71
3040,-7.63
3306,-7.65
3591,-7.65
3872,-7.58
4180,-7.55
4465,-7.92
4704,-7.77
4754,-7.96
5077,-7.95
5320,-8.54
5643,-8.57
5947,-8.52
6270,-8.29
6574,-8.15
6859,-8.13
7167,-8.18
7448,-8.43
7752,-8.61
8056,-8.59
8341,-8.46
8664,-8.33
8949,-8.55
9272,-8.64
9576,-8.74
9880,-8.61
10157,-8.67
10469,-8.71
11058,-8.94
11381,-8.93
11685,-9.1
11966,-8.97
12274,-8.87
12616,-8.42
12920,-8.18
13205,-8.2
13585,-8.07
13965,-8.01
14349,-7.78
14706,-7.8
15105,-8
