bp,d18o
0,-5.25
300,-5.3
350,-5.05
450,-5.42
550,-5.62
630,-5.75
680,-5.51
710,-5.49
736,-5.43
765,-5.44
790,-5.29
820,-5.3
850,-5.32
910,-5.07
980,-5.2
1130,-5.48
1280,-5.5
1350,-5.55
1480,-5.48
1610,-5.37
1740,-5.33
2000,-5.31
2240,-5.36
2360,-5.42
2480,-5.39
2600,-5.6
2760,-5.56
2930,-5.51
3100,-5.62
3200,-5.41
3300,-5.45
3400,-5.4
3500,-5.33
3540,-5.49
3580,-5.39
3620,-5.28
3660,-5.26
3720,-5.51
3780,-5.55
3800,-5.52
3820,-5.37
3860,-5.4
3880,-5.24
3900,-5.23
3920,-5.35
3940,-5.31
3960,-5.37
3980,-5.25
4015,-5.34
4030,-5.36
4045,-5.36
4060,-5.47
4075,-5.49
4100,-5.42
4115,-5.52
4130,-5.42
4145,-5.33
4160,-5.31
4175,-5.2
4190,-5.39
4200,-5.39
4235,-5.52
4250,-5.52
4265,-5.5
4280,-5.5
4295,-5.52
4310,-5.51
4320,-5.54
4350,-5.66
4380,-5.82
4410,-5.79
4440,-5.6
4470,-5.63
4500,-5.5
4530,-5.58
4560,-5.78
4590,-5.84
4620,-5.98
4650,-6.12
4700,-6
4740,-6.04
4775,-6.02
4800,-5.81
4810,-5.8
4830,-5.88
4840,-5.74
4850,-5.9
4870,-5.89
4880,-5.87
4890,-5.83
4900,-5.5
4910,-5.19
4925,-5.25
4940,-5.36
4955,-5.35
4970,-5.77
4985,-5.5
5000,-5.5
5015,-5.54
5045,-5.87
5060,-5.96
5078,-5.6
5096,-5.59
5114,-5.84
5150,-5.22
5168,-5.22
5186,-4.53
5206,-5.08
5226,-6.1
5246,-6.04
5266,-5.52
5286,-5.68
5306,-5.33
5326,-5.29
5346,-5.36
5366,-5.57
5390,-5.7
5436,-5.88
5496,-5.82
5576,-5.73
5676,-6
5776,-5.89
5976,-5.64
6100,-5.7
6200,-5.9
6300,-6.09
6400,-5.72
6500,-5.58
6600,-5.57
6700,-5.55
6800,-5.74
6900,-5.31
7000,-5.98
7100,-6.01
7200,-6.02
7320,-6.32
7540,-6.45
7630,-6.58
7720,-6.01
7910,-6.26
8010,-6.12
8100,-5.54
8175,-6.16
8230,-6.08
8270,-5.86
8305,-5.96
8320,-5.97
8340,-5.98
8340,-6.36
8355,-6.12
8370,-6.32
8405.5,-6.21
8410,-6.29
8415,-6.43
8420,-6.55
8425,-6.06
8430,-6.13
8435,-6.14
8440,-6.12
8445,-6
8450,-6.03
8455,-6.22
8460,-6.1
8465,-6.27
8470,-6.47
8480,-6.16
8490,-6.08
8500,-6.14
8510,-6.14
8520,-6.03
8535,-6.18
8550,-6.2
8565,-5.84
8580,-5.77
8600,-5.72
8620,-5.74
8640,-5.67
8670,-6.23
8710,-6.04
8760,-6
8820,-5.93
8900,-5.67
9000,-6.04
9140,-5.92
9340,-5.66
9590,-6.08
9890,-6.02
10240,-5.98
10590,-5.75
10990,-5.47
11100,-5.18
11200,-4.48
11420,-4.49
11940,-4.27
12300,-4.18
12650,-4.07
13000,-4.19
13360,-4.4
13720,-4.63
13800,-5.7
14000,-5.63
14230,-6
14410,-5.87
14700,-5.61
14900,-5.69
15100,-5.13
15400,-4.75
15710,-4.49
15755,-3.94
15795,-5.07
15850,-4.73
15910,-4.29
15960,-4.17
16020,-4.49
16070,-4.3
16130,-3.8
16180,-3.77
16240,-3.78
16290,-3.96
16350,-3.97
16400,-4.25
16420,-4.06
16440,-4.13
16460,-3.76
16470,-3.73
16490,-3.83
16510,-3.82
16530,-3.79
16550,-3.96
16570,-4.12
16590,-3.85
16610,-3.79
16620,-3.68
16640,-3.72
16660,-3.79
16680,-3.59
16700,-3.01
16720,-3.43
16770,-3.61
16780,-3.72
16800,-3.64
16820,-3.51
16850,-3.4
16870,-3.26
16880,-3.05
16920,-3.31
16950,-3.77
17000,-3.47
17020,-3.36
17100,-3.4
17150,-3.39
17200,-3.38
17250,-3.54
17300,-3.52
17320,-3.26
17340,-3.26
17360,-3.35
17380,-3.13
17410,-3.16
17490,-3.48
17570,-3.57
17640,-3.46
17720,-3.28
17800,-3.43
17880,-3.5
17960,-3.61
18040,-3.42
18120,-3.24
18200,-3.3
18280,-3.31
18360,-3.37
18440,-3.01
18520,-3.15
18680,-3.07
18760,-2.9
18840,-2.94
18920,-2.42
19000,-2.73
19150,-2.82
19400,-2.98
19800,-3.17
20200,-3.13
20600,-3.27
20800,-3.4
21000,-3.43
21190,-3.32
21310,-3.42
21430,-3.32
21540,-3.13
21660,-3.05
21780,-3.11
21890,-3.18
22010,-3.12
22130,-3.25
22240,-3.18
22220,-2.82
22380,-2.88
22530,-2.88
22690,-2.93
22840,-2.93
22990,-3.48
23150,-3.58
23300,-3.55
23460,-3.05
23610,-3.17
23760,-3.22
23920,-3.12
24080,-3.28
24160,-3.22
24230,-3.13
24310,-2.88
24380,-2.83
24460,-3.16
24530,-3.1
24610,-2.91
24690,-3.14
24760,-3.09
24840,-3.24
24910,-3.35
24990,-2.94
25060,-2.91
25140,-2.76
25840,-2.8
26540,-2.95
27240,-2.96
27940,-3.25
28640,-2.84
29330,-2.94
30030,-3.07
30730,-2.86
31430,-2.88
32130,-2.88
32270,-3.08
32410,-2.87
32600,-2.72
32700,-2.72
32840,-3.42
32980,-3.62
33130,-2.99
33270,-3.14
33410,-3.23
33550,-3.15
33700,-3.09
33840,-2.93
33980,-2.88
34020,-2.58
34050,-2.61
34090,-2.59
34130,-2.71
34170,-3.1
34200,-2.87
34240,-2.96
34280,-3.04
34320,-2.95
34350,-2.74
34390,-2.78
34430,-2.75
34460,-2.74
34500,-2.7
34540,-2.95
34580,-2.5
34610,-2.73
34650,-3.01
34690,-2.78
34730,-2.86
34760,-2.81
34800,-2.72
34810,-2.99
34820,-2.79
34830,-2.83
34830,-2.54
34840,-2.69
34855,-2.68
34865,-3.01
34870,-2.98
34890,-3.25
34900,-3.2
34910,-3.18
34920,-3.72
34930,-3.61
34940,-3.26
34955,-3.36
34965,-3.3
34980,-3.75
34990,-3.13
35000,-3.4
35010,-3.43
35020,-3.21
35030,-3.14
35050,-3.33
35060,-3.49
35070,-3.45
35085,-3.3
35100,-3.33
35120,-3.33
35130,-3.28
35150,-3.32
35160,-3.85
35180,-3.69
35190,-3.53
35210,-3.44
35220,-3.49
35240,-3.46
35250,-3.56
35270,-3.39
35280,-3.54
35300,-3.5
35310,-3.53
35330,-3.48
35350,-3.46
35360,-3.53
35380,-3.45
35390,-3.43
35410,-3.57
35420,-3.33
35440,-3.38
35450,-3.55
35470,-3.68
35480,-3.8
35500,-3.54
35510,-3.52
35530,-3.47
35540,-3.65
35560,-3.49
35580,-3.46
35590,-3.36
35610,-2.89
35620,-2.36
35640,-3.07
35650,-3.03
35670,-2.87
35680,-2.88
35700,-3.07
35710,-3.04
35730,-2.96
35740,-3.02
35760,-2.99
35770,-3.01
35790,-3.02
35500,-4.44
35910,-3.68
36270,-3.27
37400,-3.61
38210,-3.54
39180,-3.07
39420,-3.46
39670,-3.24
39910,-3.21
40150,-3.46
40400,-3.7
40640,-3.69
40890,-3.69
41130,-3.79
41370,-3.71
41620,-3.52
41860,-3.52
